athlete_id,name,born_date,born_city,born_region,born_country,noc,height_cm,weight_kg,died_date
95674,paul mller,1896-02-20 00:00:00,davos,graubnden,sui,switzerland,176.0,70.0,19740101
95675,peter mller,1957-10-06 00:00:00,lambach,obersterreich,aut,switzerland,184.0,84.0,unknown
95676,rolf mller,1961-08-04 00:00:00,unknown,unknown,unknown,west germany,183.0,84.0,unknown
95677,thomas mller,1961-03-05 00:00:00,aschaffenburg,bayern,ger,west germany,187.0,76.0,unknown
95678,walter mller,1940-04-16 00:00:00,innsbruck,tirol,aut,austria,180.0,73.0,19660610
95679,wolfgang mller,1955-07-19 00:00:00,wallenfels,bayern,ger,west germany,187.0,78.0,unknown
95680,mika myllyl,1969-09-12 00:00:00,haapajrvi,pohjoispohjanmaa,fin,finland,183.0,74.0,20110705
95681,pekka myllyl,1932-07-07 00:00:00,tampere,pirkanmaa,fin,finland,174.0,68.0,unknown
95682,jarmo myllys,1965-05-29 00:00:00,savonlinna,etelsavo,fin,finland,175.0,70.0,unknown
95683,sergey mylnikov,1958-10-06 00:00:00,chelyabinsk,chelyabinsk,rus,soviet union,176.0,82.0,20170620
95684,bjrn myrbakken,1972-08-15 00:00:00,unknown,unknown,unknown,norway,187.0,73.0,unknown
95685,magne myrmo,1943-07-30 00:00:00,rennebu,trndelag,nor,norway,177.0,76.0,unknown
95686,vladimir myshkin,1955-06-19 00:00:00,kirovochepetsk,kirov,rus,soviet union,170.0,70.0,unknown
95687,albert mchler,1950-03-20 00:00:00,unknown,unknown,unknown,switzerland,176.0,70.0,unknown
95688,mikko mkel,1965-02-28 00:00:00,tampere,pirkanmaa,fin,finland,188.0,70.0,unknown
95689,tapio mkel,1926-10-12 00:00:00,nastola,pijthme,fin,finland,181.0,70.0,20160512
95690,toivo mkikyr,1957-01-29 00:00:00,pello,lappi,fin,finland,179.0,74.0,unknown
95691,kauko mkinen,1927-07-20 00:00:00,tampere,pirkanmaa,fin,finland,176.0,70.0,19680805
95692,jarmo mkitalo,1960-10-08 00:00:00,lahti,pijthme,fin,finland,175.0,70.0,unknown
95693,eero mntyranta,1937-11-20 00:00:00,unknown,unknown,unknown,finland,170.0,65.0,20131230
95694,hans mrchy,1955-07-13 00:00:00,unknown,unknown,unknown,switzerland,180.0,80.0,unknown
95695,einar msseli,1898-01-04 00:00:00,unknown,unknown,unknown,finland,162.0,74.0,19661204
95696,eilert mtt,1935-09-22 00:00:00,unknown,unknown,unknown,sweden,176.0,70.0,20110507
95697,hermann mchel,1925-01-05 00:00:00,rochlitz,sachsen,ger,germany,176.0,70.0,20070217
95698,horst mhwald,1938-06-01 00:00:00,ern dl,krlovhradeck kraj,cze,germany,176.0,74.0,unknown
95699,willy mhwald,1908-09-01 00:00:00,herlikovice,krlovhradeck kraj,cze,czechoslovakia,176.0,70.0,19750515
95700,tommy mrth,1959-07-16 00:00:00,stockholm,stockholm,swe,sweden,178.0,87.0,unknown
95701,herbert mrtl,1948-11-04 00:00:00,ehrwald,tirol,aut,austria,175.0,68.0,unknown
95702,robert msching,1954-11-23 00:00:00,unknown,unknown,unknown,switzerland,176.0,70.0,unknown
95703,edi mssmer,1934-02-21 00:00:00,innsbruck,tirol,aut,austria,176.0,70.0,20070420
95704,hans mssmer,1932-03-22 00:00:00,innsbruck,tirol,aut,austria,176.0,70.0,20230610
95705,sepp mssmer,1943-03-15 00:00:00,innsbruck,tirol,aut,austria,178.0,69.0,20221103
95706,jon mrdalen,1895-08-18 00:00:00,tinn,vestfold og telemark,nor,norway,176.0,70.0,19771205
95707,kjetil mrdalen,1925-01-12 00:00:00,tinn,vestfold og telemark,nor,norway,176.0,70.0,19961104
95708,gerard maarse,1929-03-01 00:00:00,wilnis,utrecht,ned,netherlands,176.0,70.0,19891227
95709,harald maartmann,1926-01-05 00:00:00,oslo,oslo,nor,norway,176.0,70.0,20210101
95710,martti maatela,1935-09-21 00:00:00,rovaniemi,lappi,fin,finland,172.0,61.0,20131126
95711,fritz nachmann,1929-08-16 00:00:00,unknown,unknown,unknown,germany west germany,176.0,80.0,unknown
95712,vladimr nadrchal,1938-03-04 00:00:00,pardubice,pardubick kraj,cze,czechoslovakia,172.0,73.0,unknown
95713,fritz naef,1934-06-05 00:00:00,davos,graubnden,sui,switzerland,176.0,70.0,20140727
95714,kazutoshi nagahama,1969-04-29 00:00:00,noheji,aomori,jpn,japan,168.0,61.0,unknown
95715,fumio nagakubo,1937-02-23 00:00:00,kobuchisawa,yamanashi,jpn,japan,167.0,62.0,unknown
95716,hiroshi nagakubo,1946-12-14 00:00:00,unknown,unknown,unknown,japan,180.0,70.0,unknown
95717,masaru nagaoka,1962-08-06 00:00:00,otaru,hokkaido,jpn,japan,171.0,63.0,unknown
95718,minoru nagata,1906-01-01 00:00:00,unknown,unknown,unknown,japan,176.0,70.0,unknown
95719,toshihisa nagata,1945-05-12 00:00:00,unknown,unknown,unknown,japan,165.0,61.0,unknown
95720,jack nagel,1926-01-30 00:00:00,port townsend,washington,usa,united states,175.0,80.0,20040311
95721,leonhard nagenrauft,1938-03-09 00:00:00,bischofswiesen,bayern,ger,west germany,180.0,80.0,20170522
